oui,manufacturer,registry,short_name,device_type,address,sources
E0:43:DB,"Shenzhen ViewAt Technology Co.,Ltd.",MA-L,,,"9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA. shenzhen guangdong CN 518057 ",IEEE+Nmap
24:05:F5,"Integrated Device Technology (Malaysia) Sdn. Bhd.",MA-L,,,"Phase 3, Bayan Lepas FIZ Bayan Lepas Penang MY 11900 ",IEEE+Nmap
3C:D9:2B,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
9C:8E:99,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
B4:99:BA,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
1C:C1:DE,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
3C:35:56,"Cognitec Systems GmbH",MA-L,,,"Großenhainer Str. 101 Dresden Saxony DE 01127",IEEE+Nmap
00:50:BA,"D-Link Corporation",MA-L,,,"2F, NO. 233L-2, PAO-CHIAO RD. TAIPEI  TW 0000 ",IEEE+Nmap
00:17:9A,"D-Link Corporation",MA-L,,,"No. 289, Sinhu 3rd Rd., Neihu District, Taipei  TW 114 ",IEEE+Nmap
1C:BD:B9,"D-Link International",MA-L,,,"1 INTERNATIONAL  BUSINESS  PARK, SINGAPORE  SG 609917 ",IEEE+Nmap
90:94:E4,"D-Link International",MA-L,,,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 ",IEEE+Nmap
28:10:7B,"D-Link International",MA-L,,,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 ",IEEE+Nmap
1C:7E:E5,"D-Link International",MA-L,,,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 ",IEEE+Nmap
C4:A8:1D,"D-Link International",MA-L,,,"1 Internal Business Park, #03-12, SINGAPORE Singapore SG 609917 ",IEEE+Nmap
18:62:2C,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
7C:03:D8,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
E8:F1:B0,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
00:F8:71,"DGS Denmark A/S",MA-L,,,"Kongebakken 9 Smørum  DK 2765",IEEE+Nmap
20:BB:76,"COL GIOVANNI PAOLO SpA",MA-L,,,"Via F.lli Ceirano n. 20 Moncalieri TORINO IT 10024",IEEE+Nmap
2C:22:8B,"CTR SRL",MA-L,,,"Via Lario 33 Cantù Cantù (CO) IT 22063",IEEE+Nmap
34:8A:AE,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
BC:EC:23,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",MA-L,,,"Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China ShenZhen GuangDong CN 518057 ",IEEE+Nmap
AC:06:C7,"ServerNet S.r.l.",MA-L,,,"Località Padriciano 99 Trieste Trieste IT 34149",IEEE+Nmap
CC:46:D6,"Cisco Systems, Inc",MA-L,,,"80 West Tasman Drive San Jose CA US 94568",IEEE+Nmap
48:AD:08,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
2C:AB:00,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
00:E0:FC,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"KEFA ROAD, SCIENCE-BASED INDUSTRIAL PARK SHENZHEN 518057  CN 12345 ",IEEE+Nmap
24:DF:6A,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan Guangdong CN 523808  ",IEEE+Nmap
00:9A:CD,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan Guangdong CN 523808  ",IEEE+Nmap
38:F2:3E,"Microsoft Mobile Oy",MA-L,,,"Keilalahdentie 4 Espoo  FI 02150",IEEE+Nmap
58:AC:78,"Cisco Systems, Inc",MA-L,,,"80 West Tasman Dr. San Jose CA US 94568",IEEE+Nmap
90:7F:61,"Chicony Electronics Co., Ltd.",MA-L,,,"No.25, Wu-Gong 6th Rd., Wu Ku Industrial Park, New Taipei City,  TW 248 ",IEEE+Nmap
28:BC:18,"SourcingOverseas Co. Ltd",MA-L,,,"2F., No.616, Sec.5, Zhongshan N. Rd., Shilin Dist., Taipei City  TW 111 ",IEEE+Nmap
80:7A:BF,"HTC Corporation",MA-L,,,"No. 23, Xinghua Rd., Taoyuan City Taoyuan County Taiwan TW 330 ",IEEE+Nmap
40:9F:87,"Jide Technology (Hong Kong) Limited",MA-L,,,"jiahua Mansion 3F, 133 North 4th Ring Road East, Chaoyang District Beijing  CN 100101 ",IEEE+Nmap
3C:5A:B4,"Google, Inc.",MA-L,,,"1600 Amphitheatre Parkway Mountain View  US 94043",IEEE+Nmap
00:1A:11,"Google, Inc.",MA-L,,,"1600 Amphitheater Parkway Mountain View CA US 94043",IEEE+Nmap
D8:3C:69,"Shenzhen TINNO Mobile Technology Corp.",MA-L,,,"4/F.,H-3 Building,OCT Eastern lndustrial Park. NO.1 XiangShan East Road SHENZHEN GUANGDONG CN 518053 ",IEEE+Nmap
74:AC:5F,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.",MA-L,,,"Cyber Harbor, 2nd Mengxi Road, Hi-Tech Industrial Park (North), NanShan District ShenZhen GuangDong CN 518000 ",IEEE+Nmap
BC:83:A7,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",MA-L,,,"Unit A 13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District Shenzhen GuangDong  CN 518057 ",IEEE+Nmap
00:03:47,"Intel Corporation",MA-L,,,"M/S:  JF3-420 Hillsboro OR US 97124",IEEE+Nmap
00:11:75,"Intel Corporation",MA-L,,,"5200 NE ELAM YOUNG PARKWAY HIllsboro OR US 97124",IEEE+Nmap
00:13:E8,"Intel Corporate",MA-L,,,"Lot 8, Jalan Hi-tech 2/3 Kulim Kedah MY 09000 ",IEEE+Nmap
00:13:02,"Intel Corporate",MA-L,,,"Lot 8, Jalan Hi-tech 2/3 Kulim Kedah MY 09000 ",IEEE+Nmap
E4:F8:9C,"Intel Corporate",MA-L,,,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 ",IEEE+Nmap
A4:02:B9,"Intel Corporate",MA-L,,,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 ",IEEE+Nmap
4C:34:88,"Intel Corporate",MA-L,,,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 ",IEEE+Nmap
00:0D:0B,"BUFFALO.INC",MA-L,,,"MELCO HI-TECH CENTER, NAGOYA  JP 457-8520 ",IEEE+Nmap
00:07:40,"BUFFALO.INC",MA-L,,,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome Naka-ku,Nagoya Aichi Pref. JP 460-8315 ",IEEE+Nmap
00:24:A5,"BUFFALO.INC",MA-L,,,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome Naka-ku,Nagoya Aichi Pref. JP 460-8315 ",IEEE+Nmap
DC:FB:02,"BUFFALO.INC",MA-L,,,"AKAMONDORI Bldg.,30-20,Ohsu 3-chome Naka-ku,Nagoya Aichi Pref JP 460-8315 ",IEEE+Nmap
F4:CE:46,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
00:1C:C4,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:25:B3,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:18:71,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:0B:CD,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:0E:7F,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:0F:20,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:11:0A,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:13:21,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:16:35,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:17:A4,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
00:08:02,"Hewlett Packard",MA-L,,,"20555 State Highway 249 Houston TX US 77070",IEEE+Nmap
90:E7:C4,"HTC Corporation",MA-L,,,"No. 23, Xinghua Rd. Taoyuan County Taiwan TW 330 ",IEEE+Nmap
74:A7:8E,"zte corporation",MA-L,,,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 ",IEEE+Nmap
D8:60:B0,"bioMérieux Italia S.p.A.",MA-L,,,"Via di Campigliano, 58 Bagno a Ripoli Firenze IT 50012 ",IEEE+Nmap
80:38:BC,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
D4:40:F0,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
64:A6:51,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
E8:CD:2D,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate Shenzhen GuangDong CN 518057 ",IEEE+Nmap
AC:E2:15,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park,  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
EC:23:3D,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park,  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
78:F5:FD,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park,  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
80:B6:86,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
10:C6:1F,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
88:53:D4,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
0C:37:DC,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 ",IEEE+Nmap
BC:76:70,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 ",IEEE+Nmap
24:DB:AC,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 ",IEEE+Nmap
00:21:E8,"Murata Manufacturing Co., Ltd.",MA-L,,,"2288, Oaza-Ohshinohara, Yasu-cho, Yasu-gun Shiga JP 520-2393 ",IEEE+Nmap
00:60:57,"Murata Manufacturing Co., Ltd.",MA-L,,,"1-18-1 HAKUSAN MIDORI-KU YOKOHAMA  226  JP 12345",IEEE+Nmap
00:07:D8,"Hitron Technologies. Inc",MA-L,,,"135-220 Hitron B/D 726-5 Seoul  KR 13456",IEEE+Nmap
84:74:2A,"zte corporation",MA-L,,,"12/F.,zte R&D building,kejinan Road, shenzhen guangdong CN 518057 ",IEEE+Nmap
68:1A:B2,"zte corporation",MA-L,,,"12/F.,zte R&D building,kejinan Road, shenzhen guangdong CN 518057 ",IEEE+Nmap
E0:05:C5,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 7, Second Part, Honghualing Industrial Zone Shenzhen Guangdong CN 518000 ",IEEE+Nmap
A0:F3:C1,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan shenzhen guangdong Province CN 518057 ",IEEE+Nmap
8C:21:0A,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan shenzhen guangdong Province CN 518057 ",IEEE+Nmap
EC:17:2F,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan shenzhen guangdong Province CN 518057 ",IEEE+Nmap
EC:88:8F,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park Shenzhen Guangdong CN 518057 ",IEEE+Nmap
14:CF:92,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4) shenzhen guangdong Province CN 518057 ",IEEE+Nmap
64:56:01,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 ",IEEE+Nmap
14:CC:20,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 ",IEEE+Nmap
BC:46:99,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L,,,"Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 ",IEEE+Nmap
0C:45:BA,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
84:77:78,"Cochlear Limited",MA-L,,,"1 University Avenue Sydney New South Wales AU 2109",IEEE+Nmap
04:53:D5,"Sysorex Global Holdings",MA-L,,,"Suite 195 2479 E. Bayshore Road Palo Alto CA US 94303",IEEE+Nmap
CC:A2:23,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
E8:08:8B,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
60:E7:01,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
00:08:83,"Hewlett Packard",MA-L,,,"MAIL STOP 42LE CUPERTINO CA US 95014",IEEE+Nmap
C4:34:6B,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
8C:DC:D4,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
34:64:A9,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
D4:C9:EF,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
A4:5D:36,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
A0:D3:C1,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
40:A8:F0,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
6C:3B:E5,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
08:2E:5F,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
28:92:4A,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
10:60:4B,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
30:8D:99,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
00:30:C1,"Hewlett Packard",MA-L,,,"11000 WOLFE ROAD CUPERTINO CA US 95014",IEEE+Nmap
FC:3F:DB,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston TX US 77070",IEEE+Nmap
4C:A1:61,"Rain Bird Corporation",MA-L,,,"970 West Sierra Madre Ave. AZUSA CA US 91702",IEEE+Nmap
7C:61:93,"HTC Corporation",MA-L,,,"No. 23, Xinghua Rd.,  Taoyuan County  TW 330 ",IEEE+Nmap
00:12:17,"Cisco-Linksys, LLC",MA-L,,,"121 Theory Dr. Irvine CA US 92612",IEEE+Nmap
00:0C:41,"Cisco-Linksys, LLC",MA-L,,,"121 Theory Dr. Irvine CA US 92612",IEEE+Nmap
00:0F:66,"Cisco-Linksys, LLC",MA-L,,,"121 Theory Dr. Irvine CA US 92612",IEEE+Nmap
44:E0:8E,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Parkway Lawrenceville GA US 30044",IEEE+Nmap
18:59:33,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Parkway Lawrenceville GA US 30044",IEEE+Nmap
E4:48:C7,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Pkwy Lawrenceville GA US 30044",IEEE+Nmap
24:76:7D,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Pkwy Lawrenceville GA US 30044",IEEE+Nmap
2C:AB:A4,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Parkway Lawrenceville GA US 30044",IEEE+Nmap
00:02:C7,"ALPS ELECTRIC CO.,LTD.",MA-L,,,"1-2-1, Okinouchi, Sama-City, Sama  JP 00000 ",IEEE+Nmap
04:76:6E,"ALPS ELECTRIC CO.,LTD.",MA-L,,,"6-3-36 Furukawanakazato, Osaki Miyagi-pref JP 989-6181 ",IEEE+Nmap
00:6B:8E,"Shanghai Feixun Communication Co.,Ltd.",MA-L,,,"Building 90,No,4855,Guangfulin Road shanghai Shanghai CN 201616 ",IEEE+Nmap
AC:85:3D,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen Shenzhen Guangdong CN 518129 ",IEEE+Nmap
74:88:2A,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
78:D7:52,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
E0:24:7F,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
00:46:4B,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
70:7B:E8,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
54:89:98,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
08:19:A6,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 ",IEEE+Nmap
3C:F8:08,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 ",IEEE+Nmap
B4:15:13,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 ",IEEE+Nmap
28:31:52,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 ",IEEE+Nmap
DC:D2:FC,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 ",IEEE+Nmap
00:03:DD,"Comark Interactive Solutions",MA-L,,,"93 West St. Medfield MA US 02052",IEEE+Nmap
00:10:7B,"Cisco Systems, Inc",MA-L,,,"170 W.TASMAN DR.-SJA-2 SAN JOSE CA US 95134-1706",IEEE+Nmap
00:90:6D,"Cisco Systems, Inc",MA-L,,,"80 West Tasman Drive San Jose CA US 94568",IEEE+Nmap
00:90:BF,"Cisco Systems, Inc",MA-L,,,"80 West Tasman Drive San Jose CA US 94568",IEEE+Nmap
00:50:80,"Cisco Systems, Inc",MA-L,,,"170 W. TASMAN DR. SAN JOSE CA US 95134-1706",IEEE+Nmap
00:E0:18,"ASUSTek COMPUTER INC.",MA-L,,,"150 LI-TE RD. PEITOU, TAIPEI  TW 77777 ",IEEE+Nmap
00:0C:6E,"ASUSTek COMPUTER INC.",MA-L,,,"150, Li-Te Rd., PeiTou Taipei  TW 112 ",IEEE+Nmap
00:1B:FC,"ASUSTek COMPUTER INC.",MA-L,,,"15,Li-Te Rd.,Peitou Taipei  TW 112 ",IEEE+Nmap
00:1E:8C,"ASUSTek COMPUTER INC.",MA-L,,,"15,Li-Te Rd.,Peitou Taipei  TW 112 ",IEEE+Nmap
00:15:F2,"ASUSTek COMPUTER INC.",MA-L,,,"No.5 Shing Yeh Street,Kwei Shan Hsiang,Taoyuan Taipei  TW 333 ",IEEE+Nmap
00:23:54,"ASUSTek COMPUTER INC.",MA-L,,,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 ",IEEE+Nmap
00:1F:C6,"ASUSTek COMPUTER INC.",MA-L,,,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 ",IEEE+Nmap
60:18:2E,"ShenZhen Protruly Electronic Ltd co.",MA-L,,,"ShenNan Road 1004 Shen Zhen GuangDong CN 518000",IEEE+Nmap
F4:CF:E2,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
50:1C:BF,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
28:5F:DB,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 ",IEEE+Nmap
40:4D:8E,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 ",IEEE+Nmap
78:1D:BA,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"HUAWEI Industrial Base Bantian,Longgang Shenzhen guangdong CN 518129 ",IEEE+Nmap
00:1E:10,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"HUAWEI INDUSTRIAL PK BANTIAN, LONGGANG DIST SHENZHEN SHENZHEN GUANGDONG CN 518077 ",IEEE+Nmap
88:F0:31,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
50:87:89,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
38:1C:1A,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
F4:0F:1B,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
BC:67:1C,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
A0:EC:F9,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
D4:6D:50,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
1C:E8:5D,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
C4:72:95,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
A0:55:4F,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
84:B8:02,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
BC:C4:93,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
00:19:47,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Parkway Lawrenceville GA US 30044",IEEE+Nmap
00:22:CE,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Parkway Lawrenceville GA US 30042",IEEE+Nmap
F0:29:29,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
EC:E1:A9,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
7C:69:F6,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
C0:8C:60,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
C0:25:5C,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
88:5A:92,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
E4:C7:22,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
C0:7B:BC,"Cisco Systems, Inc",MA-L,,,"170 West Tasman Drive San Jose CA US 95134",IEEE+Nmap
00:90:F2,"Cisco Systems, Inc",MA-L,,,"170 W. TASMAN DR. SAN JOSE CA US 95134-1706",IEEE+Nmap
