oui,manufacturer,registry,short_name,device_type,address,sources
24:62:78,"sysmocom - systems for mobile communications GmbH",MA-L,,,"Alt-Moabit 93  Berlin DE 10559",IEEE+Nmap
F4:58:42,"Boxx TV Ltd",MA-L,,,"Suite 17, Imperial Studios  London GB SW6 2AG ",IEEE+Nmap
A8:61:AA,"Cloudview Limited",MA-L,,,"Kingsway House St Peter Port Guernsey GB GY1 2QE",IEEE+Nmap
C8:93:46,"MXCHIP Company Limited",MA-L,,,"Room 811,Tongpu Building, Shanghai Shanghai CN 200333 ",IEEE+Nmap
F0:F2:60,"Mobitec AB",MA-L,,,"Box 97 Herrljunga VG SE 52421",IEEE+Nmap
14:23:D7,"EUTRONIX CO., LTD.",MA-L,,,"EUTRONIX BLDG. 4TH FLOOR ANYANG KYEONGGI US 431-804",IEEE+Nmap
3C:FB:96,"Emcraft Systems LLC",MA-L,,,"2191 S. El Camino Real Oceanside CA US 92054",IEEE+Nmap
08:1F:3F,"WondaLink Inc.",MA-L,,,"2F, No. 23, R&D Road 2 Hsinchu  TW 300 ",IEEE+Nmap
DC:6F:08,"Bay Storage Technology",MA-L,,,"6200 Stoneridge Mall Road Pleasanton CA US 94588",IEEE+Nmap
E4:92:E7,"Gridlink Tech. Co.,Ltd.",MA-L,,,"Room No. 619, No. 108 Jiang Bin Dong Road Fuzhou Fujian CN 350015 ",IEEE+Nmap
60:BB:0C,"Beijing HuaqinWorld Technology Co,Ltd",MA-L,,,"30F,Beijing Silver Tower,No.2 North Road Chao Yang District Beijing CN 100027 ",IEEE+Nmap
70:E0:27,"HONGYU COMMUNICATION TECHNOLOGY LIMITED",MA-L,,,"Room4B, East Building 210, Shen Zhen Guang Dong Province CN 518040 ",IEEE+Nmap
E8:80:D8,"GNTEK Electronics Co.,Ltd.",MA-L,,,"Suzhou Industrial Park Suzhou Jiangsu CN 215021",IEEE+Nmap
18:88:57,"Beijing Jinhong Xi-Dian Information Technology Corp.",MA-L,,,"4th -5th Floor, 1# Building NO.1 Zhonghe Road  Beijing CN 100070 ",IEEE+Nmap
28:79:94,"Realplay Digital Technology(Shenzhen) Co.,Ltd",MA-L,,,"7/F,Building E,SDG Information Port ,Kefeng Rd.,Hi-tech Shenzhen Guangdong CN 518057 ",IEEE+Nmap
10:5C:3B,"Perma-Pipe, Inc.",MA-L,,,"7720 Lehigh Ave Niles IL US 60714",IEEE+Nmap
40:C4:D6,"ChongQing Camyu Technology Development Co.,Ltd.",MA-L,,,"4th Floor,Tower of Venus Technology Building ,NO 60 Xing Guang Road  Chong Qing CN 401121 ",IEEE+Nmap
A0:EB:76,"AirCUVE Inc.",MA-L,,,"Guro-gu Digital-ro  Seoul KR 152-719",IEEE+Nmap
